index,date,formatted date,grid,plot,Tree tag,gps tag,gps used,side,zone,fixed area,Species,fixed ht cm,Diameter 1,Diameter 2,Diameter 3,Diameter 4,Diameter 5,# Stems,Breaking,Age,Resprout,strip Circumference,Additive circumferance,area <3m stripped,Age strip,Bark Regrowth,Borers,Fire,Toppled,Resprout,Ele?,Alive,data entered bY
154,5/27/2018,27-May-18,1,3,368,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,37,0.32,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
150,5/27/2018,27-May-18,1,3,100,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,60,0.55,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
151,5/27/2018,27-May-18,1,3,369,NA,NA,A,2,0 to 2,Ormocarpum trichocarpum,47,0.66,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
155,5/27/2018,27-May-18,1,3,325,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,64,0.66,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
157,5/27/2018,27-May-18,1,3,332,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,20,0.76,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
149,5/27/2018,27-May-18,1,3,371,NA,NA,A,2,0 to 2,Ormocarpum trichocarpum,67,0.84,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
162,5/27/2018,27-May-18,1,3,365,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,75,0.84,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
160,5/27/2018,27-May-18,1,3,367,NA,NA,A,2,0 to 2,Flueggea virosa,140,0.85,1.37,1.28,0.88,,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
147,5/27/2018,27-May-18,1,3,96,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,120,1.05,1.02,1.39,0.63,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
158,5/27/2018,27-May-18,1,3,330,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,100,1.06,0.88,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
156,5/27/2018,27-May-18,1,3,331,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,100,1.19,1.2,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
163,5/27/2018,27-May-18,1,3,364,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,100,1.25,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
161,5/27/2018,27-May-18,1,3,366,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,130,1.28,0.17,1.56,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
148,5/27/2018,27-May-18,1,3,93,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,150,1.52,2.09,1.17,0.84,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
159,5/27/2018,27-May-18,1,3,329,NA,NA,A,2,0 to 2,Gymnosporia senegalensis,190,2.29,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
166,5/27/2018,27-May-18,1,3,333,NA,NA,A,3,0 to 2,Ehrethia rigidia,37,0.12,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
168,5/27/2018,27-May-18,1,3,335,NA,NA,A,3,0 to 2,Commiphora schimperi,35,0.28,0.2,0.25,0.14,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
165,5/27/2018,27-May-18,1,3,362,NA,NA,A,3,0 to 2,Ehrethia rigidia,29,0.29,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
170,5/27/2018,27-May-18,1,3,341,NA,NA,A,3,0 to 2,Ormocarpum trichocarpum,23,0.45,0.7,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
