index,Location,Location 2,Date,Grid,Plot,Way Point,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,# of stems,Breaking %,Age,Respr,Stripping % circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (Yes/No),Toppled (Yes/No),Respr,ElephaNot (Yes/No),Alive (Yes/No),notes,GPS used,data entered by
34,Kruger Park,Lower Sabie,3/6/2017,2,11,Gr2Pl11Tr1,Acacia nigrescens,5,12,10,NA,NA,2,2,2,Yes,45,NA,8,old,50,na,NA,NA,NA,Yes,Yes,,laurence's grey gps?,laurence
35,Kruger Park,Lower Sabie,3/6/2017,2,11,Gr2Pl11Tr2,Acacia nigrescens,5,13,12,NA,NA,2,58,na,NA,80,NA,10,NA,na,100,Yes,NA,NA,Yes,Yes,,laurence's grey gps?,laurence
36,Kruger Park,Lower Sabie,3/6/2017,2,12,Gr2Pl12Tr1,Acacia nigrescens,5.1,12,NA,NA,NA,1,10,Old,Yes,50,NA,20,Old,60,100,No,NA,NA,Yes,Yes,,laurence's grey gps?,laurence
37,Kruger Park,Lower Sabie,3/6/2017,2,12,Gr2Pl12Tr2,Acacia gerrardii,6,18,10,NA,NA,2,60,Old,Yes,15,NA,5,Old,80,100,Yes,NA,NA,Yes,alive,,laurence's grey gps?,laurence
38,Kruger Park,Lower Sabie,3/6/2017,2,13,Gr2Pl13Tr1,Acacia nigrescens,5,12,NA,NA,NA,1,70,Old,Yes,50,NA,15,Old,50,100,No,NA,NA,Yes,Yes,,laurence's grey gps?,laurence
39,Kruger Park,Lower Sabie,3/6/2017,2,13,Gr2Pl13Tr2,Acacia nigrescens,5,14,NA,NA,NA,1,2,Old,Yes,30,NA,10,Old,15,no,No,NA,NA,Yes,Yes,,laurence's grey gps?,laurence
1,Kruger Park,Lower Sabie,6/1/2017,4,29,007,Acacia nigrescens,5.3,39.8,NA,NA,NA,1,60,Old,Yes,NA,NA,20,Old,5,20,No,No,No,Yes,Yes,Major cavity present atfter being broken by elephants,,Ndumie
40,Kruger Park,Lower Sabie,6/1/2017,4,29,007,Acacia nigrescens,5.3,39.8,NA,NA,NA,1,60,Old,Yes,NA,NA,20,Old,5,20,No,No,No,Yes,Yes,Major cavity present atfter being broken by elephants,,
29,Kruger Park,Lower Sabie,01/06/2017,4,31,G4P31T1,Acacia nigrescens,540,10,10.5,NA,NA,2,2,Old,Yes,20,5,Old,Old,60,NA,NA,No,NA,Yes,Yes,,Ali yellow,Ali
30,Kruger Park,Lower Sabie,01/06/2017,4,31,G4P31T2,Acacia nigrescens,550,10,10,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,,Ali yellow,Ali
31,Kruger Park,Lower Sabie,01/06/2017,4,31,G4P31T3,Acacia nigrescens,520,11,14,NA,NA,2,100,Old,No,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,No,,Ali yellow,Ali
32,Kruger Park,Lower Sabie,01/06/2017,4,31,G4P31T4,Acacia nigrescens,650,20,NA,NA,NA,1,100,Old,No,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,No,,Ali yellow,Ali
28,Kruger Park,Lower Sabie,01/06/2017,4,32,G4P32T1,Acacia nigrescens,520,10,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,,Ali yellow,Ali
6,Kruger Park,Lower Sabie,6/1/2017,4,33,012,Acacia nigrescens,6,11.5,6,8.3,NA,3,35,Medium,No,NA,NA,60,Old,40,0,Yes,No,No,Yes,Yes,,,Ndumie
45,Kruger Park,Lower Sabie,6/1/2017,4,33,012,Acacia nigrescens,6,11.5,6,8.3,NA,3,35,Medium,No,NA,NA,60,Old,40,0,Yes,No,No,Yes,Yes,,,
2,Kruger Park,Lower Sabie,6/1/2017,4,34,008,Acacia nigrescens,5.1,25.2,NA,NA,NA,1,5,New,Yes,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,,,Ndumie
41,Kruger Park,Lower Sabie,6/1/2017,4,34,008,Acacia nigrescens,5.1,25.2,NA,NA,NA,1,5,New,Yes,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,,,
3,Kruger Park,Lower Sabie,6/1/2017,4,34,009,Acacia nigrescens,5.2,10.9,11.5,NA,NA,2,5,Old,Yes,NA,NA,0,NA,0,0,Yes,No,No,Yes,Yes,,,Ndumie
42,Kruger Park,Lower Sabie,6/1/2017,4,34,009,Acacia nigrescens,5.2,10.9,11.5,NA,NA,2,5,Old,Yes,NA,NA,0,NA,0,0,Yes,No,No,Yes,Yes,,,
4,Kruger Park,Lower Sabie,6/1/2017,4,35,010,Acacia nigrescens,5,26.6,NA,NA,NA,1,10,Old,No,NA,NA,70,Old,10,5,Yes,No,NA,Yes,Yes,,,Ndumie
43,Kruger Park,Lower Sabie,6/1/2017,4,35,010,Acacia nigrescens,5,26.6,NA,NA,NA,1,10,Old,No,NA,NA,70,Old,10,5,Yes,No,NA,Yes,Yes,,,
5,Kruger Park,Lower Sabie,6/1/2017,4,36,011,Acacia nigrescens,5.5,14.6,12.2,NA,NA,2,25,Old,No,NA,NA,60,Old,40,0,Yes,No,No,Yes,Yes,,,Ndumie
44,Kruger Park,Lower Sabie,6/1/2017,4,36,011,Acacia nigrescens,5.5,14.6,12.2,NA,NA,2,25,Old,No,NA,NA,60,Old,40,0,Yes,No,No,Yes,Yes,,,
