date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
5-Jun-16,43,Kruger National Park,Lower sabie,1,5,109,NI,,Acacia nigrescens,520,24.2,0,0,0,0,0,0,0,5,45,O,N,60,60,0,O,3,70,Y,N,N,Y,Y,,Tembeka
5-Jun-16,44,Kruger National Park,Lower sabie,1,5,110,NI,,Acacia nigrescens,600,18,0,0,0,0,0,0,0,5,5,O,N,0,0,0,N/A,N/A,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,45,Kruger National Park,Lower sabie,1,5,111,NI,,Acacia nigrescens,550,22.1,0,0,0,0,0,0,0,5,3,O,N,10,15,0,O,70,10,Y,N,N,Y,Y,,Tembeka
5-Jun-16,46,Kruger National Park,Lower sabie,1,5,112,NI,,Acacia nigrescens,620,19.8,15.2,0,0,0,0,0,0,5,45,O,N,0,0,0,N/A,N/A,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,47,Kruger National Park,Lower sabie,1,6,60,OTS6,,Acacia nigrescens,600,16.8,13,13.5,5.3,0,0,0,0,5,12,O,Y,40,55,10,O,20,20,Y,N,Y,Y,Y,,Tembeka
5-Jun-16,48,Kruger National Park,Lower sabie,1,7,61,OTS6,,Acacia nigrescens,530,18.3,10.5,0,0,0,0,0,0,5,10,O,N,5,8,3,O,70,2,Y,N,N,Y,Y,,Tembeka
5-Jun-16,49,Kruger National Park,Lower sabie,1,9,62,OTS6,,Acacia nigrescens,510,15,11.7,25.1,0,0,0,0,0,5,8,O,N,45,50,8,O,12,25,Y,N,N,Y,Y,,Tembeka
5-Jun-16,50,Kruger National Park,Lower sabie,1,9,113,NI,,Acacia nigrescens,530,29.8,0,0,0,0,0,0,0,5,30,O,N,10,10,0,O,2,7,Y,N,N,Y,Y,,Tembeka
5-Jun-16,51,Kruger National Park,Lower sabie,1,9,114,NI,,Acacia nigrescens,550,45.1,0,0,0,0,0,0,0,5,15,O,N,40,75,0,O,3,10,Y,N,N,Y,Y,,Tembeka
5-Jun-16,52,Kruger National Park,Lower sabie,1,9,115,NI,,Acacia nigrescens,510,42,0,0,0,0,0,0,0,5,10,O,N,0,0,0,N/A,N/A,3,Y,N,N,Y,Y,,Tembeka
