ref,,,Date,Grid,Plot,Site code,Site,Section code,species (correctly spelled!),Height (cm),# stems,stem 1 diameter (cm),stem 2 diameter (cm),stem 3 diameter (cm),stem 4 diameter (cm),stem 5 diameter (cm),%break,age (N/O/N/A),sprout (Y/ N),% circum,% Additive,% < 3m,age (n/o/N/A),% regro,% borer, % fire,topple (y/n),resprout #,ele? (y/n/N/A),alive (y/n),Notes,Data Collector,Data Enterer,total basal area,total biomass
1238,,,12-Jun-2013,3,28,3_28,Intermediate 9,2A25,Acacia nigrescens,510,1,11,0,0,0,0,15,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,"Olivia, Tanya, Cody",Jenna,95.03317777,
1239,,,12-Jun-2013,3,28,3_28,Intermediate 9,1A25,Acacia nigrescens,570,2,15.3,12.9,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,"Olivia, Tanya, Cody",Jenna,706.6462896,
1240,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Acacia nigrescens,170,1,8.334,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,Y,N,Y,N,Previous height: 500,"Chev, Sam",Jenna,54.55026612,
1241,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Ehretia rigida,60,1,0.402,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,0.126923485,
1242,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Ehretia rigida,40,1,0.683,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,0.366379604,
1243,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Ehretia rigida,40,1,0.361,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,0.102353874,
1244,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Ehretia rigida,20,1,0.219,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,0.037668481,
1245,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Ehretia rigida,150,1,0.857,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,0.576834896,
1246,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Ehretia rigida,150,1,0.382,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,0.114608442,
1247,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B02,Gymnosporia senegalensis,75,3,0.326,0.546,0.898,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,"Chev, Sam",Jenna,1.653376231,
1248,,,12-Jun-2013,3,28,3_28,Intermediate 9,2B02,Acacia nigrescens,130,1,15.218,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,Y,N,Y,N,Previous height: 550,"Chev, Sam",Jenna,181.888416,
1249,,,12-Jun-2013,3,28,3_28,Intermediate 9,4B02,Acacia nigrescens,170,1,12.024,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,Y,N,Y,N,Previous height: 350,"Chev, Sam",Jenna,113.5501773,
1250,,,12-Jun-2013,3,28,3_28,Intermediate 9,4B25,Acacia nigrescens,1050,1,38.19718634,0,0,0,0,10,O,N,25,40,20,O,20,35,5,N,N/A,Y,Y,,"Chev, Sam",Jenna,1145.91559,
1251,,,12-Jun-2013,3,28,3_28,Intermediate 9,2B25,Acacia nigrescens,500,1,12.787,0,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,"Chev, Sam",Jenna,128.4183873,
1252,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B25,Acacia nigrescens,520,1,16,0,0,0,0,30,O,Y,0,0,0,N/A,0,0,5,N,N/A,U,Y,,"Chev, Sam",Jenna,201.0619298,
1253,,,12-Jun-2013,3,28,3_28,Intermediate 9,2B25,Acacia nigrescens,550,1,13.6,0,0,0,0,5,O,N,0,0,0,N/A,0,0,5,N,N/A,U,Y,,"Chev, Sam",Jenna,145.2672443,
1254,,,12-Jun-2013,3,28,3_28,Intermediate 9,2B25,Acacia nigrescens,520,1,14.5,0,0,0,0,5,O,N,0,0,0,N/A,0,0,10,N,N/A,U,Y,,"Chev, Sam",Jenna,165.1299639,
1255,,,12-Jun-2013,3,28,3_28,Intermediate 9,4B25,Acacia nigrescens,560,1,15.2,0,0,0,0,10,O,N,30,40,10,O,20,30,0,N,N/A,Y,Y,,"Chev, Sam",Jenna,181.4583917,
1256,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B10,Acacia nigrescens,500,1,16.5,0,0,0,0,5,O,Y,0,0,0,N/A,0,0,0,Y,Y,Y,Y,,Karen,Julia,213.82465,
1257,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B10,Acacia nigrescens,490,3,9.1,7.3,4.4,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,247.6596029,
1258,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B10,Acacia nigrescens,350,1,6.6,0,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,34.211944,
1259,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B10,Acacia nigrescens,560,2,12.1,9.6,0,0,0,15,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Karen,Julia,404.5193241,
1260,,,12-Jun-2013,3,28,3_28,Intermediate 9,2B10,Acacia nigrescens,420,1,10.3,0,0,0,0,25,O,N,40,40,10,O,60,25,0,N,N/A,U,Y,,Karen,Julia,83.32289115,
1261,,,12-Jun-2013,3,28,3_28,Intermediate 9,3B10,Acacia nigrescens,400,1,12.3,0,0,0,0,40,O,Y,0,0,0,N/A,0,0,0,N,N/A,N,Y,topkill- fire. ,Karen,Julia,118.8228881,
1262,,,12-Jun-2013,3,28,3_28,Intermediate 9,1B10,Acacia nigrescens,250,1,13.5,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,Y,N,Y,N,Old height: 450 cm.,Karen,Julia,143.1388153,
1263,,,12-Jun-2013,3,28,3_28,Intermediate 9,3A10,Acacia nigrescens,600,1,12.5,0,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,122.718463,
1264,,,12-Jun-2013,3,28,3_28,Intermediate 9,3A10,Acacia nigrescens,550,1,11.2,0,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,98.52034562,
1265,,,12-Jun-2013,3,28,3_28,Intermediate 9,4A10,Acacia nigrescens,650,1,15.9,0,0,0,0,10,O,Y,30,30,2,O,80,100,0,N,N/A,N,Y,,Karen,Julia,198.5565097,
1266,,,12-Jun-2013,3,28,3_28,Intermediate 9,4A10,Acacia nigrescens,650,1,12.6,0,0,0,0,5,O,Y,30,30,10,O,10,0,100,N,N/A,N,Y,,Karen,Julia,124.6898124,
1267,,,12-Jun-2013,3,28,3_28,Intermediate 9,4A10,Acacia nigrescens,650,1,13.6,0,0,0,0,10,O,Y,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,145.2672443,
1268,,,12-Jun-2013,3,28,3_28,Intermediate 9,5A10,Acacia nigrescens,500,2,11.6,11.3,0,0,0,5,O,Y,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,506.8331428,
1269,,,12-Jun-2013,3,28,3_28,Intermediate 9,2A10,Acacia nigrescens,1300,1,45.3,0,0,0,0,5,O,N,70,90,50,O,15,40,5,N,N/A,Y,Y,,Karen,Julia,1611.707717,
1270,,,12-Jun-2013,3,28,3_28,Intermediate 9,1A10,Acacia nigrescens,550,1,9.9,0,0,0,0,5,O,N,40,40,5,O,90,100,0,N,N/A,N,Y,,Karen,Julia,76.97687399,
1271,,,12-Jun-2013,3,28,3_28,Intermediate 9,1A10,Acacia nigrescens,600,1,11.7,0,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Karen,Julia,107.5131546,
1272,,,6-Dec-2013,3,28,3_28,Intermediate 9,1A02,Gymnosporia senegalensis,105,4,1.191,1.146,0.977,0.55,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,6.939993371,
1273,,,6-Dec-2013,3,28,3_28,Intermediate 9,1A02,Gymnosporia senegalensis,72,1,0.27,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,0.057255526,
1274,,,6-Dec-2013,3,28,3_28,Intermediate 9,2A02,Commiphora africana,91,1,1.935,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,2.940707438,
1275,,,6-Dec-2013,3,28,3_28,Intermediate 9,3A02,Dichrostachys cinerea,48,2,0.283,0.057,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,0.073108788,
1276,,,6-Dec-2013,3,28,3_28,Intermediate 9,3A02,Ehretia rigida,29,1,0.346,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,0.094024727,
1277,,,6-Dec-2013,3,28,3_28,Intermediate 9,3A02,Acacia nigrescens,68,9,8.608,1.085,0.78,0.728,0.42,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,64.17590495,
1278,,,6-Dec-2013,3,28,3_28,Intermediate 9,3A02,Ehretia rigida,53,1,1.467,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,1.690246748,
1279,,,6-Dec-2013,3,28,3_28,Intermediate 9,5B02,Dichrostachys cinerea,52,8,0.847,0.688,0.627,0.401,0.303,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Graeme & Tanja,Audrey,2.936546399,
1280,,,6-Dec-2013,3,28,3_28,Intermediate 9,1A02,Acacia nigrescens,500,1,19.5,0,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Cody & Olivia & Tanja,Audrey,298.6476516,
1281,,,6-Dec-2013,3,28,3_28,Intermediate 9,1A10,Bolusanthus speciosus,400,1,19.8,0,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Cody & Olivia & Tanja,Audrey,307.907496,
1282,,,6-Dec-2013,3,28,3_28,Intermediate 9,3A10,Acacia nigrescens,320,1,12.5,0,0,0,0,90,O,Y,15,15,5,O,5,100,80,N,N/A,Y,Y,,Cody & Olivia & Tanja,Audrey,122.718463,
1283,,,6-Dec-2013,3,28,3_28,Intermediate 9,1A25,Acacia nigrescens,530,1,13.4,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Cody & Olivia & Tanja,Audrey,141.0260942,
1284,,,24-May-2013,2,10,2_10,Open 1,5A25,Sclerocarya birrea,1000,1,44.4,0,0,0,0,30,O,N,65,72,60,O,15,3,0,N,N,Y,Y,,Peter & Audrey,Audrey,1548.302523,
1285,,,24-May-2013,2,10,2_10,Open 1,3B25,Sclerocarya birrea,1100,1,61,0,0,0,0,30,O,N,50,65,40,O,75,30,10,N,N,Y,Y,,Peter & Audrey,Audrey,2922.466566,
1286,,,24-May-2013,2,10,2_10,Open 1,4B25,Acacia nigrescens,970,1,54.5,0,0,0,0,35,O,N,50,90,70,O,35,35,5,N,N,Y,Y,,Peter & Audrey,Audrey,2332.828895,
1287,,,24-May-2013,2,10,2_10,Open 1,1A02,Dichrostachys cinerea,110,1,3.31,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,stripping unknow; breaking elephants,Hannah & Vellie,Audrey,8.604900818,
1288,,,24-May-2013,2,10,2_10,Open 1,1A02,Dichrostachys cinerea,170,2,3.264,2.453,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,27.27101286,
1289,,,24-May-2013,2,10,2_10,Open 1,1A02,Ehretia rigida,45,1,1.611,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,2.038360347,
1290,,,24-May-2013,2,10,2_10,Open 1,1A02,Ormocarpum trichocarpum,75,1,2.525,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,5.007404166,
1291,,,24-May-2013,2,10,2_10,Open 1,1A02,Ormocarpum trichocarpum,100,2,2.158,2.151,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,18.193095,
1292,,,24-May-2013,2,10,2_10,Open 1,1A02,Ormocarpum trichocarpum,100,1,2.338,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,4.293177998,
1293,,,24-May-2013,2,10,2_10,Open 1,1A02,Sclerocarya birrea,100,2,1.994,1.946,0,0,0,40,O,N,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,15.01971886,
1294,,,24-May-2013,2,10,2_10,Open 1,1B02,Ormocarpum trichocarpum,30,2,0.2,0.3,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.314159265,
1295,,,24-May-2013,2,10,2_10,Open 1,1B02,Philenoptera violacea,110,2,5,8,0,0,0,60,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Cori and Laurence,Hannah,220.6968839,
1296,,,24-May-2013,2,10,2_10,Open 1,2B02,Acacia nigrescens,250,3,2.3,3,2,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Cori and Laurence,Hannah,35.57068282,
1297,,,24-May-2013,2,10,2_10,Open 1,2B02,Gymnosporia senegalensis,120,1,1.3,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,1.327322896,
1298,,,24-May-2013,2,10,2_10,Open 1,2B02,Gymnosporia senegalensis,120,3,1,1.2,1,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,6.094689748,
1299,,,24-May-2013,2,10,2_10,Open 1,2B02,Gymnosporia senegalensis,130,4,2,1.5,1.5,1,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,15.11891465,
1300,,,24-May-2013,2,10,2_10,Open 1,2B02,Ormocarpum trichocarpum,30,1,1,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.785398163,
1301,,,24-May-2013,2,10,2_10,Open 1,3A02,Acacia nigrescens,28.4,2,1.447,1.352,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,7.387003521,
1302,,,24-May-2013,2,10,2_10,Open 1,3B02,Dalbergia melanoxylon,40,1,0.4,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.125663706,
1303,,,24-May-2013,2,10,2_10,Open 1,3B02,Ehretia rigida,70,2,0.9,0.7,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,2.175552913,
1304,,,24-May-2013,2,10,2_10,Open 1,3B02,Gymnosporia senegalensis,40,1,1,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.785398163,
1305,,,24-May-2013,2,10,2_10,Open 1,3B02,Gymnosporia senegalensis,50,2,1.1,0.7,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,2.489712178,
1306,,,24-May-2013,2,10,2_10,Open 1,3B02,Gymnosporia senegalensis,135,3,2,3,1.5,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,Burnt,Cori and Laurence,Hannah,33.1830724,
1307,,,24-May-2013,2,10,2_10,Open 1,3B02,Gymnosporia senegalensis,160,2,2.3,1.6,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,12.19723348,
1308,,,24-May-2013,2,10,2_10,Open 1,3B02,Gymnosporia senegalensis,170,2,2,1.5,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,10.21017612,
1309,,,24-May-2013,2,10,2_10,Open 1,4A02,Albizia forbesii,75,1,2.099,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,3.460308014,
1310,,,24-May-2013,2,10,2_10,Open 1,4A02,Gymnosporia senegalensis,75,1,2.26,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,4.011499659,
1311,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,15,3,1.295,1.179,1.157,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,6.735447415,
1312,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,15,1,1.853,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,2.696750202,
1313,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,20,6,1.34,1.293,1.235,1.204,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,12.41454137,
1314,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,30,1,1.212,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,1.15370592,
1315,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,35,2,1.465,1.422,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,8.038205413,
1316,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,45,1,1.755,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,2.419045978,
1317,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,45,4,1.852,1.391,1.305,1.277,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,15.23308719,
1318,,,24-May-2013,2,10,2_10,Open 1,4A02,Ormocarpum trichocarpum,75,2,2.049,1.632,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,11.66480971,
1319,,,24-May-2013,2,10,2_10,Open 1,4B02,Acacia nigrescens,100,1,2.2,0,0,0,0,15,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,3.801327111,
1320,,,24-May-2013,2,10,2_10,Open 1,4B02,Ehretia rigida,25,1,0.3,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.070685835,
1321,,,24-May-2013,2,10,2_10,Open 1,4B02,Ehretia rigida,50,1,0.25,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.049087385,
1322,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,12,4,0.2,0.1,0.1,0.1,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.102101761,
1323,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,15,4,0.2,0.3,0.3,0.2,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.510508806,
1324,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,20,1,0.2,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.031415927,
1325,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,30,1,0.8,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.502654825,
1326,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,30,5,0.3,0.3,0.2,0.4,0.2,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.918915851,
1327,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,30,2,0.2,0.2,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.157079633,
1328,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,40,2,0.5,0.5,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.981747704,
1329,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,40,1,0.5,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.196349541,
1330,,,24-May-2013,2,10,2_10,Open 1,4B02,Ormocarpum trichocarpum,50,2,0.25,0.3,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.331830724,
1331,,,24-May-2013,2,10,2_10,Open 1,4B02,Sclerocarya birrea,15,2,0.6,0.2,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.408407045,
1332,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,30,3,1.836,1.739,1.367,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,13.61571675,
1333,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,40,1,2.563,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,5.159256188,
1334,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,45,3,1.904,1.745,1.659,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,14.5751026,
1335,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,50,3,1.973,1.942,1.797,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,17.44164646,
1336,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,50,1,2.186,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,3.753100522,
1337,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,65,1,1.892,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,2.811461531,
1338,,,24-May-2013,2,10,2_10,Open 1,5A02,Ormocarpum trichocarpum,85,1,2.267,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,4.036388142,
1339,,,24-May-2013,2,10,2_10,Open 1,5B02,Acacia nigrescens,38,1,1.1,0,0,0,0,1,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.950331778,
1340,,,24-May-2013,2,10,2_10,Open 1,5B02,Albizia forbesii,50,2,1.2,2.6,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,22.36813969,
1341,,,24-May-2013,2,10,2_10,Open 1,5B02,Albizia forbesii,60,2,1,1.5,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,7.853981634,
1342,,,24-May-2013,2,10,2_10,Open 1,5B02,Albizia forbesii,110,1,2.5,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,4.908738521,
1343,,,24-May-2013,2,10,2_10,Open 1,5B02,Ormocarpum trichocarpum,20,1,0.7,0,0,0,0,50,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Cori and Laurence,Hannah,0.3848451,
1344,,,24-May-2013,2,10,2_10,Open 1,5B02,Ormocarpum trichocarpum,30,1,0.3,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.070685835,
1345,,,24-May-2013,2,10,2_10,Open 1,5B02,Ormocarpum trichocarpum,40,1,0.5,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Cori and Laurence,Hannah,0.196349541,
1346,,,24-May-2013,2,11,2_11,Open 2,1B10,Acacia nigrescens,330,1,10,0,0,0,0,3,O,N,0,0,0,N/A,0,0,0,N,N,U,Y,,Peter & Audrey,Audrey,78.53981634,
1347,,,24-May-2013,2,11,2_11,Open 2,1B10,Acacia nigrescens,320,2,7.4,6.7,0,0,0,5,O,N,50,50,15,O,25,5,0,N,N,Y,Y,,Peter & Audrey,Audrey,184.0344976,
1348,,,24-May-2013,2,11,2_11,Open 2,1B10,Acacia nigrescens,500,2,9.4,7.5,0,0,0,3,O,N,30,30,10,O,95,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,246.1123685,
1349,,,24-May-2013,2,11,2_11,Open 2,1B10,Acacia nigrescens,340,1,8.7,0,0,0,0,15,O,N,35,35,15,O,60,10,0,N,N,Y,N,,Peter & Audrey,Audrey,59.44678699,
1350,,,24-May-2013,2,11,2_11,Open 2,3B25,Acacia gerrardii,520,1,9.7,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N,N,Y,,Peter & Audrey,Audrey,73.89811319,
1351,,,24-May-2013,2,11,2_11,Open 2,1A02,Dalbergia melanoxylon,130,1,1.935,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,2.940707438,
1352,,,24-May-2013,2,11,2_11,Open 2,1A02,Dichrostachys cinerea,100,1,2,0.645,0.375,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,4.559020354,
1353,,,24-May-2013,2,11,2_11,Open 2,2A02,Gymnosporia senegalensis,45,3,0.56,0.485,0.453,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah & Vellie,Audrey,1.146452768,
