ref,,,Date,Grid,Plot,Site code,Site,Section code,species (correctly spelled!),Height (cm),# stems,stem 1 diameter (cm),stem 2 diameter (cm),stem 3 diameter (cm),stem 4 diameter (cm),stem 5 diameter (cm),%break,age (N/O/N/A),sprout (Y/ N),% circum,% Additive,% < 3m,age (n/o/N/A),% regro,% borer, % fire,topple (y/n),resprout #,ele? (y/n/N/A),alive (y/n),Notes,Data Collector,Data Enterer,total basal area,total biomass
76,,,23-May-2013,1,2,1_2,Dense 2,3B25,Acacia nigrescens,600,2,14.7,10.4,0,0,0,5,O,N,3,3,,O,0,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,509.5113505,
77,,,23-May-2013,1,2,1_2,Dense 2,2B25,Acacia nigrescens,510,2,12.6,7.5,0,0,0,17,O,N,0,0,0,N/A,0,0,0,N,N,N,Y,,Peter & Audrey,Audrey,301.4043992,
78,,,23-May-2013,1,2,1_2,Dense 2,2B25,Acacia nigrescens,510,2,9.5,9.2,0,0,0,17,O,N,0,0,0,N/A,0,0,0,N,N,N,Y,,Peter & Audrey,Audrey,336.7865864,
79,,,23-May-2013,1,2,1_2,Dense 2,2B25,Acacia nigrescens,550,2,9.5,7.1,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N,N,Y,,Peter & Audrey,Audrey,229.2498699,
80,,,23-May-2013,1,2,1_2,Dense 2,1B25,Acacia nigrescens,520,1,12.8,0,0,0,0,7,O,N,30,40,,O,0,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,128.6796351,
81,,,23-May-2013,1,2,1_2,Dense 2,1B25,Acacia nigrescens,700,2,13.7,13.1,0,0,0,15,O,N,10,10,,O,30,80,0,N,N,Y,Y,,Peter & Audrey,Audrey,686.5400966,
82,,,23-May-2013,1,2,1_2,Dense 2,1B25,Acacia nigrescens,670,1,13.4,0,0,0,0,20,O,N,60,60,,O,7,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,141.0260942,
83,,,23-May-2013,1,2,1_2,Dense 2,1A25,Sclerocarya birrea,900,1,52.4,0,0,0,0,35,O,N,40,70,,O,40,15,0,N,N,Y,Y,,Peter & Audrey,Audrey,2156.514861,
84,,,23-May-2013,1,2,1_2,Dense 2,1A25,Sclerocarya birrea,900,1,52.4,0,0,0,0,35,O,N,40,70,,N,40,15,0,N,N,Y,Y,,Peter & Audrey,Audrey,2156.514861,
85,,,23-May-2013,1,2,1_2,Dense 2,3A25,Acacia nigrescens,580,3,11.4,8.7,6.7,0,0,25,O,N,20,30,,O,35,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,375.1140168,
86,,,23-May-2013,1,2,1_2,Dense 2,3A25,Acacia nigrescens,580,3,11.4,8.7,6.7,0,0,25,O,N,20,30,,N,35,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,375.1140168,
87,,,23-May-2013,1,2,1_2,Dense 2,3A25,Acacia nigrescens,520,1,7.6,0,0,0,0,50,O,N,0,0,0,N/A,0,0,0,N,N,Y,Y,,Peter & Audrey,Audrey,45.36459792,
88,,,23-May-2013,1,2,1_2,Dense 2,2A25,Acacia nigrescens,500,1,9.5,0,0,0,0,15,O,N,0,0,0,N/A,0,0,0,N,N,N,Y,,Peter & Audrey,Audrey,70.88218425,
89,,,23-May-2013,1,2,1_2,Dense 2,5A10,Acacia nigrescens,320,1,9.5,0,0,0,0,20,O,N,50,50,10,O,40,40,10,N,N,Y,Y,,Julia & Karen,Julia,70.88218425,
90,,,23-May-2013,1,2,1_2,Dense 2,2B02,Acacia nigrescens,550,2,12,14,0,0,0,3,N ,N,0,0,0,N/A,0,0,0,N,N,U,Y,,Cori & Valli,Audrey,728.8494956,
91,,,23-May-2013,1,2,1_2,Dense 2,3B02,Acacia nigrescens,680,1,15,0,0,0,0,10,N,Y,70,70,25,O,1,10,0,N,N,Y,Y,,Cori & Valli,Audrey,176.7145868,
92,,,23-May-2013,1,2,1_2,Dense 2,4B02,Acacia nigrescens,530,1,12.9,0,0,0,0,5,N,Y,0,0,0,N/A,0,0,0,N,N,U,Y,,Cori & Valli,Audrey,130.6981084,
93,,,23-May-2013,1,2,1_2,Dense 2,5A25,Acacia nigrescens,600,2,19,16,0,0,0,2,O,Y,0,0,0,N/A,0,0,0,N,N,U,Y,,Cori & Valli,Audrey,1087.776456,
94,,,23-May-2013,1,2,1_2,Dense 2,5A25,Acacia nigrescens,550,1,23,0,0,0,0,1,O,Y,0,0,0,N/A,0,0,0,N,N,U,Y,,Cori & Valli,Audrey,415.4756284,
95,,,23-May-2013,1,2,1_2,Dense 2,4A25,Acacia nigrescens,700,2,21,19,0,0,0,50,O,Y,0,0,0,N/A,0,0,0,N,N,Y,Y,,Cori & Valli,Audrey,1480.475538,
96,,,23-May-2013,1,2,1_2,Dense 2,1B10,Acacia nigrescens,700,1,40,0,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N,Y,N,,Dax & Jenna,Cori,1256.637061,
97,,,23-May-2013,1,2,1_2,Dense 2,1B10,Acacia nigrescens,600,3,14.1,10.2,3.6,0,0,10,O,N,1,1,1,N,0,0,0,N,N,N,Y,,Dax & Jenna,Cori,493.1750687,
98,,,23-May-2013,1,2,1_2,Dense 2,1B10,Acacia nigrescens,600,2,11.6,16.3,0,0,0,2,O,N,2,5,1,O,0,10,0,N,N,N,Y,,Dax & Jenna,Cori,940.372929,
99,,,23-May-2013,1,2,1_2,Dense 2,2B10,Acacia nigrescens,300,2,10.6,8.7,0,0,0,10,O,N,0,0,0,O,0,0,0,N,N,N,Y,,Dax & Jenna,Cori,326.0344856,
100,,,23-May-2013,1,2,1_2,Dense 2,2B10,Acacia nigrescens,700,1,16.5,0,0,0,0,1,O,N,0,0,0,O,0,0,0,N,N,N,Y,,Dax & Jenna,Cori,213.82465,
101,,,23-May-2013,1,2,1_2,Dense 2,3B10,Acacia nigrescens,500,2,15.4,10.2,0,0,0,1,O,N,1,1,1,O,0,1,0,N,N,N,Y,,Dax & Jenna,Cori,513.1163281,
102,,,23-May-2013,1,2,1_2,Dense 2,3B10,Acacia nigrescens,575,1,23.2,0,0,0,0,5,O,N,33,33,5,O,0,0,0,N,N,N,Y,,Dax & Jenna,Cori,422.7327075,
103,,,23-May-2013,1,2,1_2,Dense 2,3B10,Acacia nigrescens,650,2,19,14.2,0,0,0,6,O,N,45,45,14,O,10,0,0,N,N,N,Y,,Dax & Jenna,Cori,916.9994797,
104,,,23-May-2013,1,2,1_2,Dense 2,4B10,Acacia nigrescens,550,3,8.6,13,13.2,0,0,12,O,N,12,12,7,O,10,0,0,N,N,N,Y,,Dax & Jenna,Cori,725.8649826,
105,,,23-May-2013,1,2,1_2,Dense 2,5B10,Acacia nigrescens,700,1,29.1,0,0,0,0,2,O,N,0,0,0,O,0,0,0,N,N,N,Y,,Dax & Jenna,Cori,665.0830187,
106,,,23-May-2013,1,2,1_2,Dense 2,1B02,Ormocarpum trichocarpum,60,1,1,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Cori & Valli,Audrey,0.785398163,
107,,,23-May-2013,1,2,1_2,Dense 2,1B02,Rhus gueinzii,100,11,1.5,1.3,1,1,1,60,N ,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Cori & Valli,Audrey,11.78882643,
108,,,23-May-2013,1,2,1_2,Dense 2,2A02,Ehretia rigida,10,1,0.169,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.022431757,
109,,,23-May-2013,1,2,1_2,Dense 2,2A02,Ehretia rigida,10,1,0.31,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.075476764,
110,,,23-May-2013,1,2,1_2,Dense 2,2A02,Ehretia rigida,20,1,0.236,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.043743536,
111,,,23-May-2013,1,2,1_2,Dense 2,2A02,Ehretia rigida,20,3,0.45,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.159043128,
