date,grid,plot,zone,side,fixed_area,height,num_stems,stem_1_diam,stem_2_diam,stem_3_diam,stem_4_diam,stem_5_diam,canopy_breakage,breakage_age,breakage_resprout,circum,add_circum,bark_stripped,strip_age,bark_regrow,borer,fire,toppled,toppled_resprout,elephant_damage,alive,notes,data_collector,scribe,total_basal_area,season,location,tag,spcode
23-May-2013,1,1,2,B,<2,45,1,0.6,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.282743339,mj13,K,NA,ORTR
23-May-2013,1,1,3,A,<2,50,1,0.648,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.32979183,mj13,K,NA,DAME
23-May-2013,1,1,3,A,<2,60,2,1.231,0.502,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,1.981855661,mj13,K,NA,DAME
23-May-2013,1,1,3,A,<2,65,4,0.685,0.682,0.65,0.636,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,3.432350981,mj13,K,NA,DAME
23-May-2013,1,1,3,A,<2,160,3,1.324,1.004,1.297,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,5.86476365,mj13,K,NA,DAME
23-May-2013,1,1,3,A,<2,30,1,0.297,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.069279187,mj13,K,NA,EHRI
23-May-2013,1,1,3,A,<2,30,1,0.507,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.201885813,mj13,K,NA,EHRI
23-May-2013,1,1,3,A,<2,45,3,0.524,0.324,0.424,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.686639057,mj13,K,NA,EHRI
23-May-2013,1,1,3,A,<2,45,1,0.506,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.201090204,mj13,K,NA,EHRI
23-May-2013,1,1,3,A,<2,85,1,0.478,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.179450914,mj13,K,NA,EHRI
23-May-2013,1,1,3,A,<2,150,3,2.034,1.31,2.436,NA,NA,10,O,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,13.30122998,mj13,K,NA,GYSE
23-May-2013,1,1,3,A,2-10,210,10,4.1,4.1,3.6,3.5,3.5,25,O,N,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Julia & Audrey,Julia,124.2971133,mj13,K,NA,GYSE
23-May-2013,1,1,3,B,<2,40,1,0.2,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.031415927,mj13,K,NA,DAME
23-May-2013,1,1,3,B,<2,40,1,0.6,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.282743339,mj13,K,NA,DAME
23-May-2013,1,1,3,B,<2,40,1,0.5,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.196349541,mj13,K,NA,DAME
23-May-2013,1,1,3,B,<2,40,3,0.4,0.3,0.3,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.47909288,mj13,K,NA,DAME
23-May-2013,1,1,3,B,<2,40,1,0.7,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.3848451,mj13,K,NA,DAME
23-May-2013,1,1,3,B,<2,110,1,0.2,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.031415927,mj13,K,NA,FLVI
23-May-2013,1,1,3,B,<2,130,1,1.2,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,1.130973355,mj13,K,NA,FLVI
23-May-2013,1,1,3,B,<2,50,1,0.2,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.031415927,mj13,K,NA,ORTR
23-May-2013,1,1,4,A,<2,85,1,1.169,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,1.0732945,mj13,K,NA,DICI
23-May-2013,1,1,4,A,<2,200,4,1.917,2.372,2.546,1.618,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,33.87755052,mj13,K,NA,GYSE
23-May-2013,1,1,4,A,<2,85,2,1.333,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,1.395565357,mj13,K,NA,ORTR
23-May-2013,1,1,4,B,<2,120,1,1.1,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,0.950331778,mj13,K,NA,ORTR
23-May-2013,1,1,5,B,<2,180,1,3.2,NA,NA,NA,NA,10,O,N,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,8.042477193,mj13,K,NA,GYSE
23-May-2013,1,1,5,B,<2,190,1,2.2,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Laurence,Peter ,3.801327111,mj13,K,NA,GYSE
23-May-2013,1,1,1,A,<2,380,1,0.464,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.169093083,mj13,K,NA,DAME
23-May-2013,1,1,2,A,<2,1400,1,59.9,NA,NA,NA,NA,30,O,N,40,40,100,60 O/40 N,80,35,0,N,N,N,Y,NA,Karen and Vellie,Peter,2818.016464,mj13,K,NA,SCBI
23-May-2013,1,2,3,A,2-10,550,1,10.8,NA,NA,NA,NA,10,O,N,40,40,7,O,90,100,70,N,N,Y,Y,NA,Julia & Karen,Julia,91.60884178,mj13,K,NA,ACNI
23-May-2013,1,2,3,A,2-10,570,2,10.5,9.8,NA,NA,NA,7,O,N,0,0,0,NA,0,0,0,N,N,Y,Y,NA,Julia & Karen,Julia,388.308706,mj13,K,NA,ACNI
23-May-2013,1,2,4,A,2-10,710,2,14.5,14,NA,NA,NA,15,O,Y,15,15,7,O,90,0,0,N,Y,Y,Y,NA,Julia & Karen,Julia,780.882124,mj13,K,NA,ACNI
23-May-2013,1,2,4,A,2-10,510,1,14.5,NA,NA,NA,NA,7,O,Y,10,55,7,O,70,0,0,N,N,Y,Y,NA,Julia & Karen,Julia,165.1299639,mj13,K,NA,PHVI
23-May-2013,1,2,4,A,2-10,630,2,12.7,12.1,NA,NA,NA,5,O,Y,30,20,5,O,65,10,35,N,Y,NA,Y,NA,Julia & Karen,Julia,586.6374502,mj13,K,NA,ACNI
23-May-2013,1,2,5,B,10-25,1200,1,63,NA,NA,NA,NA,45,O,N,50,90,53,O,40,15,50,N,N,Y,Y,NA,Peter & Audrey,Audrey,3117.245311,mj13,K,NA,SCBI
23-May-2013,1,2,3,B,10-25,1250,1,58.8,NA,NA,NA,NA,3,O,N,70,70,NA,O,33,30,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,2715.467026,mj13,K,NA,SCBI
23-May-2013,1,2,3,B,10-25,600,2,14.7,10.4,NA,NA,NA,5,O,N,3,3,NA,O,0,0,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,509.5113505,mj13,K,NA,ACNI
23-May-2013,1,2,2,B,10-25,510,2,12.6,7.5,NA,NA,NA,17,O,N,0,0,0,NA,0,0,0,N,N,N,Y,NA,Peter & Audrey,Audrey,301.4043992,mj13,K,NA,ACNI
23-May-2013,1,2,2,B,10-25,510,2,9.5,9.2,NA,NA,NA,17,O,N,0,0,0,NA,0,0,0,N,N,N,Y,NA,Peter & Audrey,Audrey,336.7865864,mj13,K,NA,ACNI
23-May-2013,1,2,2,B,10-25,550,2,9.5,7.1,NA,NA,NA,10,O,N,0,0,0,NA,0,0,0,N,N,N,Y,NA,Peter & Audrey,Audrey,229.2498699,mj13,K,NA,ACNI
23-May-2013,1,2,1,B,10-25,520,1,12.8,NA,NA,NA,NA,7,O,N,30,40,NA,O,0,0,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,128.6796351,mj13,K,NA,ACNI
23-May-2013,1,2,1,B,10-25,700,2,13.7,13.1,NA,NA,NA,15,O,N,10,10,NA,O,30,80,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,686.5400966,mj13,K,NA,ACNI
23-May-2013,1,2,1,B,10-25,670,1,13.4,NA,NA,NA,NA,20,O,N,60,60,NA,O,7,0,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,141.0260942,mj13,K,NA,ACNI
23-May-2013,1,2,1,A,10-25,900,1,52.4,NA,NA,NA,NA,35,O,N,40,70,NA,O,40,15,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,2156.514861,mj13,K,NA,SCBI
23-May-2013,1,2,1,A,10-25,900,1,52.4,NA,NA,NA,NA,35,O,N,40,70,NA,N,40,15,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,2156.514861,mj13,K,NA,SCBI
23-May-2013,1,2,3,A,10-25,580,3,11.4,8.7,6.7,NA,NA,25,O,N,20,30,NA,O,35,0,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,375.1140168,mj13,K,NA,ACNI
